XmacGene,XmacGeneID,Evalue,HumanGene,SwissprotAnnotationID
gene1012,GeneID:102229530,1.00E-56,sp|P47900|P2RY1_HUMAN,P47900
gene10120,GeneID:102224742,0,sp|O60547|GMDS_HUMAN,O60547
gene10121,GeneID:102225013,2.00E-167,sp|Q12948|FOXC1_HUMAN,Q12948
gene10122,GeneID:102225274,2.00E-118,sp|Q12947|FOXF2_HUMAN,Q12947
gene10123,GeneID:102231322,7.00E-72,sp|Q9C009|FOXQ1_HUMAN,Q9C009
gene10124,GeneID:102225535,0,sp|Q96KP1|EXOC2_HUMAN,Q96KP1
gene10125,GeneID:102225797,1.00E-170,sp|Q15306|IRF4_HUMAN,Q15306
gene10126,GeneID:102231584,6.00E-75,sp|Q9NRW4|DUS22_HUMAN,Q9NRW4
gene10127,GeneID:102226060,1.00E-133,sp|Q86WA6|BPHL_HUMAN,Q86WA6
gene10128,GeneID:102226313,2.00E-46,sp|Q5JS54|PSMG4_HUMAN,Q5JS54
gene10129,GeneID:102231846,0,sp|A1A5C7|S22AN_HUMAN,A1A5C7
gene1013,GeneID:102229273,3.00E-55,sp|P47900|P2RY1_HUMAN,P47900
gene10130,GeneID:111609654,NA,NA,
gene10131,GeneID:111609655,NA,NA,
gene10132,GeneID:106700239,0,sp|P15924|DESP_HUMAN,P15924
gene10133,GeneID:102226568,1.00E-143,sp|Q9P0N9|TBCD7_HUMAN,Q9P0N9
gene10134,GeneID:102232353,4.00E-161,sp|Q9C0D0|PHAR1_HUMAN,Q9C0D0
gene10135,GeneID:102226825,4.00E-158,sp|Q9NXA8|SIR5_HUMAN,Q9NXA8
gene10136,GeneID:102232616,0,sp|Q08828|ADCY1_HUMAN,Q08828
gene10137,GeneID:111609668,NA,NA,
gene10138,GeneID:111609669,NA,NA,
gene10139,GeneID:102227082,1.00E-35,sp|P08833|IBP1_HUMAN,P08833
gene1014,GeneID:102229010,9.00E-56,sp|P47900|P2RY1_HUMAN,P47900
gene10140,GeneID:102227338,3.00E-93,sp|P17936|IBP3_HUMAN,P17936
gene10141,GeneID:102232875,1.00E-150,sp|Q68CZ2|TENS3_HUMAN,Q68CZ2
gene10142,GeneID:102231120,0,sp|O60346|PHLP1_HUMAN,O60346
gene10143,GeneID:102230860,2.00E-10,sp|Q96A59|MALD3_HUMAN,Q96A59
gene10144,GeneID:102230599,1.00E-79,sp|Q6P1X6|CH082_HUMAN,Q6P1X6
gene10145,GeneID:102230068,0,sp|Q6XQN6|PNCB_HUMAN,Q6XQN6
gene10146,GeneID:102229810,NA,NA,
gene10147,GeneID:102229547,6.00E-128,sp|P24298|ALAT1_HUMAN,P24298
gene10148,GeneID:102230331,7.00E-130,sp|Q8TD30|ALAT2_HUMAN,Q8TD30
gene10149,GeneID:102227603,1.00E-127,sp|Q8TD30|ALAT2_HUMAN,Q8TD30
gene1015,GeneID:102227140,6.00E-68,sp|P47900|P2RY1_HUMAN,P47900
gene10150,GeneID:102227857,0,sp|P41586|PACR_HUMAN,P41586
gene10151,GeneID:102233404,1.00E-138,sp|P41586|PACR_HUMAN,P41586
gene10152,GeneID:111609730,2.00E-56,sp|Q8N328|PGBD3_HUMAN,Q8N328
gene10153,GeneID:102233658,2.00E-157,sp|Q9NQC7|CYLD_HUMAN,Q9NQC7
gene10154,GeneID:102233916,1.00E-104,sp|Q8IXZ2|ZC3H3_HUMAN,Q8IXZ2
gene10155,GeneID:102234178,2.00E-51,sp|P54845|NRL_HUMAN,P54845
gene10156,GeneID:102228290,7.00E-116,sp|Q5TC12|ATPF1_HUMAN,Q5TC12
gene10157,GeneID:102234433,0,sp|Q8TCX5|RHPN1_HUMAN,Q8TCX5
gene10158,GeneID:102222237,4.00E-120,sp|Q6UUV9|CRTC1_HUMAN,Q6UUV9
gene10159,GeneID:102228713,0,sp|Q53HC5|KLH26_HUMAN,Q53HC5
gene1016,GeneID:102228481,3.00E-60,sp|P47900|P2RY1_HUMAN,P47900
gene10160,GeneID:111609789,2.00E-13,sp|P42701|I12R1_HUMAN,P42701
gene10161,GeneID:111609684,NA,NA,
gene10162,GeneID:102228972,0,sp|O60307|MAST3_HUMAN,O60307
gene10163,GeneID:102229233,8.00E-50,sp|O95182|NDUA7_HUMAN,O95182
gene10164,GeneID:102234951,8.00E-87,sp|P98155|VLDLR_HUMAN,P98155
gene10165,GeneID:102235218,4.00E-120,sp|Q9Y2A9|B3GN3_HUMAN,Q9Y2A9
gene10166,GeneID:102229490,0,sp|O60674|JAK2_HUMAN,O60674
gene10167,GeneID:102233453,NA,NA,
gene10168,GeneID:102232408,2.00E-169,tr|I3L3S9|I3L3S9_HUMAN,I3L3S9
gene10169,GeneID:102232159,3.00E-49,sp|Q96CT7|CC124_HUMAN,Q96CT7
gene1017,GeneID:102228230,9.00E-70,sp|P29279|CTGF_HUMAN,P29279
gene10170,GeneID:102233193,0,sp|Q9H2S1|KCNN2_HUMAN,Q9H2S1
gene10171,GeneID:102232932,0,tr|A0A087WTW0|A0A087WTW0_HUMAN,A0A087WTW0
gene10172,GeneID:102235480,0,tr|A0A0C4DFL8|A0A0C4DFL8_HUMAN,A0A0C4DFL8
gene10173,GeneID:102237776,0,sp|Q13332|PTPRS_HUMAN,Q13332
gene10174,GeneID:102237519,2.00E-84,sp|P21731|TA2R_HUMAN,P21731
gene10175,GeneID:102237256,2.00E-136,sp|Q8TF64|GIPC3_HUMAN,Q8TF64
gene10176,GeneID:102237000,1.00E-34,tr|D6REP5|D6REP5_HUMAN,D6REP5
gene10177,GeneID:102236741,1.00E-51,sp|P55344|LMIP_HUMAN,P55344
gene10178,GeneID:102236486,0,sp|O94967|WDR47_HUMAN,O94967
gene10179,GeneID:102236237,0,sp|Q08AD1|CAMP2_HUMAN,Q08AD1
gene1018,GeneID:102223534,4.00E-65,sp|P47900|P2RY1_HUMAN,P47900
gene10180,GeneID:102235978,0,sp|Q5T1V6|DDX59_HUMAN,Q5T1V6
gene10181,GeneID:102235726,0,sp|Q15058|KIF14_HUMAN,Q15058
gene10182,GeneID:111609786,9.00E-68,sp|Q7Z7M1|AGRD2_HUMAN,Q7Z7M1
gene10183,GeneID:102230796,0,sp|O00482|NR5A2_HUMAN,O00482
gene10184,GeneID:111609681,NA,NA,
gene10185,GeneID:111609781,2.00E-78,sp|Q8NAG6|ANKL1_HUMAN,Q8NAG6
gene10186,GeneID:102235213,0,sp|P09923|PPBI_HUMAN,P09923
gene10187,GeneID:102234945,0,sp|P09923|PPBI_HUMAN,P09923
gene10188,GeneID:102230537,3.00E-18,sp|Q8N9Q2|SR1IP_HUMAN,Q8N9Q2
gene10189,GeneID:102230271,3.00E-10,sp|P23582|ANFC_HUMAN,P23582
gene1019,GeneID:102227976,4.00E-145,sp|P00813|ADA_HUMAN,P00813
gene10190,GeneID:102229852,6.00E-133,sp|P19338|NUCL_HUMAN,P19338
gene10191,GeneID:111609795,NA,NA,
gene10192,GeneID:111609802,NA,NA,
gene10193,GeneID:111609803,NA,NA,
gene10194,GeneID:102234685,2.00E-152,sp|Q8NFL0|B3GN7_HUMAN,Q8NFL0
gene10195,GeneID:102234426,0,tr|A0A2Q3DP09|A0A2Q3DP09_HUMAN,A0A2Q3DP09
gene10196,GeneID:102229592,1.00E-103,sp|P52434|RPAB3_HUMAN,P52434
gene10197,GeneID:106699661,5.00E-07,tr|A0A286YF45|A0A286YF45_HUMAN,A0A286YF45
gene10198,GeneID:102229330,0,sp|P54753|EPHB3_HUMAN,P54753
gene10199,GeneID:102234172,3.00E-124,sp|A2RU49|HYKK_HUMAN,A2RU49
gene102,GeneID:111609517,2.00E-39,sp|Q9BVG3|TRI62_HUMAN,Q9BVG3
gene1020,GeneID:102225126,9.00E-16,sp|Q9Y2B9|IPKG_HUMAN,Q9Y2B9
gene10200,GeneID:102233909,1.00E-138,sp|Q9HB89|NMUR1_HUMAN,Q9HB89
gene10201,GeneID:102228809,2.00E-48,sp|Q8WW35|TC1D2_HUMAN,Q8WW35
gene10202,GeneID:102229071,2.00E-25,sp|Q5QGT7|RTP2_HUMAN,Q5QGT7
gene10203,GeneID:102233653,5.00E-93,sp|P46098|5HT3A_HUMAN,P46098
gene10204,GeneID:102233399,4.00E-99,sp|P46098|5HT3A_HUMAN,P46098
gene10205,GeneID:102233136,1.00E-75,sp|Q8WXA8|5HT3C_HUMAN,Q8WXA8
gene10206,GeneID:102232870,1.00E-89,sp|Q8WXA8|5HT3C_HUMAN,Q8WXA8
gene10207,GeneID:102232608,0,sp|Q92622|RUBIC_HUMAN,Q92622
gene10208,GeneID:102232348,1.00E-33,tr|H0Y865|H0Y865_HUMAN,H0Y865
gene10209,GeneID:102228356,1.00E-71,sp|P35080|PROF2_HUMAN,P35080
gene1021,GeneID:102224867,4.00E-142,sp|Q9BTX7|TTPAL_HUMAN,Q9BTX7
gene10210,GeneID:102228106,4.00E-162,sp|O43567|RNF13_HUMAN,O43567
gene10211,GeneID:102227850,1.00E-49,sp|P41236|IPP2_HUMAN,P41236
gene10212,GeneID:102227075,0,sp|Q96P50|ACAP3_HUMAN,Q96P50
gene10213,GeneID:102226645,0,sp|Q99460|PSMD1_HUMAN,Q99460
gene10214,GeneID:102231059,5.00E-155,sp|P41595|5HT2B_HUMAN,P41595
gene10215,GeneID:111609783,NA,NA,
gene10216,GeneID:102220497,3.00E-117,sp|Q14469|HES1_HUMAN,Q14469
gene10217,GeneID:102226386,0,sp|O60313|OPA1_HUMAN,O60313
gene10218,GeneID:102232094,0,sp|Q9H7F0|AT133_HUMAN,Q9H7F0
gene10219,GeneID:106699663,5.00E-14,sp|Q2T9K0|TMM44_HUMAN,Q2T9K0
gene1022,GeneID:102224602,0,sp|P41235|HNF4A_HUMAN,P41235
gene10220,GeneID:102231841,0,sp|Q9H089|LSG1_HUMAN,Q9H089
gene10221,GeneID:102225970,1.00E-162,sp|Q8N2R8|FA43A_HUMAN,Q8N2R8
gene10222,GeneID:111609731,NA,NA,
gene10223,GeneID:102231578,2.00E-151,sp|Q8NBI6|XXLT1_HUMAN,Q8NBI6
gene10224,GeneID:102225706,4.00E-84,tr|Q5T760|Q5T760_HUMAN,Q5T760
gene10225,GeneID:102225444,0,sp|Q8N6S4|AN13C_HUMAN,Q8N6S4
gene10226,GeneID:102225184,0,sp|P32929|CGL_HUMAN,P32929
gene10227,GeneID:102231315,6.00E-127,tr|A0A0A0MRP3|A0A0A0MRP3_HUMAN,A0A0A0MRP3
gene10228,GeneID:102224925,9.00E-72,sp|O95218|ZRAB2_HUMAN,O95218
gene10229,GeneID:102222308,3.00E-150,sp|Q7Z3B1|NEGR1_HUMAN,Q7Z3B1
gene1023,GeneID:102224354,8.00E-56,sp|Q8N6M3|FITM2_HUMAN,Q8N6M3
gene10230,GeneID:102229228,6.00E-12,tr|A8MUN2|A8MUN2_HUMAN,A8MUN2
gene10231,GeneID:102229485,0,sp|Q9HBW9|AGRL4_HUMAN,Q9HBW9
gene10232,GeneID:111609771,NA,NA,
gene10233,GeneID:102229746,0,tr|B1ALU3|B1ALU3_HUMAN,B1ALU3
gene10234,GeneID:102230009,0,sp|Q6ZT98|TTLL7_HUMAN,Q6ZT98
gene10235,GeneID:102230273,0,sp|P17612|KAPCA_HUMAN,P17612
gene10236,GeneID:102230717,8.00E-52,sp|Q5VXD3|SAM13_HUMAN,Q5VXD3
gene10237,GeneID:102230976,NA,NA,
gene10238,GeneID:102220326,4.00E-109,sp|Q8WZ79|DNS2B_HUMAN,Q8WZ79
gene10239,GeneID:102220591,7.00E-79,sp|O00115|DNS2A_HUMAN,O00115
gene1024,GeneID:102223419,0,sp|Q96MZ0|GD1L1_HUMAN,Q96MZ0
gene10240,GeneID:102231238,1.00E-175,sp|Q9H9Y2|RPF1_HUMAN,Q9H9Y2
gene10241,GeneID:102231501,1.00E-36,sp|P63218|GBG5_HUMAN,P63218
gene10242,GeneID:106699672,2.00E-35,sp|Q5VX52|SPAT1_HUMAN,Q5VX52
gene10243,GeneID:102231766,2.00E-168,sp|Q01459|DIAC_HUMAN,Q01459
gene10244,GeneID:102232282,1.00E-19,tr|M0QZD8|M0QZD8_HUMAN,M0QZD8
gene10245,GeneID:102232022,4.00E-16,tr|M0QZD8|M0QZD8_HUMAN,M0QZD8
gene10246,GeneID:102220858,9.00E-131,sp|Q9Y2D8|ADIP_HUMAN,Q9Y2D8
gene10247,GeneID:102221110,7.00E-117,sp|Q9UBY5|LPAR3_HUMAN,Q9UBY5
gene10248,GeneID:102221375,0,sp|Q8IZK6|MCLN2_HUMAN,Q8IZK6
gene10249,GeneID:111609671,4.00E-48,sp|Q96S66|CLCC1_HUMAN,Q96S66
gene1025,GeneID:102227715,3.00E-151,sp|Q9BR39|JPH2_HUMAN,Q9BR39
gene10250,GeneID:102221642,1.00E-90,sp|Q96S66|CLCC1_HUMAN,Q96S66
gene10251,GeneID:111609673,2.00E-28,sp|Q96S66|CLCC1_HUMAN,Q96S66
gene10252,GeneID:102221908,0,sp|Q8IY81|SPB1_HUMAN,Q8IY81
gene10253,GeneID:102222171,7.00E-73,sp|Q9HDD0|HRSL1_HUMAN,Q9HDD0
gene10254,GeneID:102232535,0,sp|Q8IWA4|MFN1_HUMAN,Q8IWA4
gene10255,GeneID:102232802,0,sp|Q9HAV0|GBB4_HUMAN,Q9HAV0
gene10256,GeneID:102233064,0,sp|P49419|AL7A1_HUMAN,P49419
gene10257,GeneID:102233322,0,sp|O96019|ACL6A_HUMAN,O96019
gene10258,GeneID:102222435,3.00E-76,sp|Q9HD33|RM47_HUMAN,Q9HD33
gene10259,GeneID:102233581,6.00E-56,sp|O43674|NDUB5_HUMAN,O43674
gene1026,GeneID:102227459,3.00E-153,sp|Q9BTV7|CABL2_HUMAN,Q9BTV7
gene10260,GeneID:102233838,0,sp|Q92995|UBP13_HUMAN,Q92995
gene10261,GeneID:102222686,0,sp|Q8IYB4|PEX5R_HUMAN,Q8IYB4
gene10262,GeneID:111609732,2.00E-55,sp|Q8TF66|LRC15_HUMAN,Q8TF66
gene10263,GeneID:102234095,1.00E-91,sp|Q8TF66|LRC15_HUMAN,Q8TF66
gene10264,GeneID:102222941,2.00E-61,sp|P40197|GPV_HUMAN,P40197
gene10265,GeneID:102234354,1.00E-32,sp|Q8IVM0|CCD50_HUMAN,Q8IVM0
gene10266,GeneID:111609714,NA,NA,
gene10267,GeneID:102223460,4.00E-34,sp|Q8N6F1|CLD19_HUMAN,Q8N6F1
gene10268,GeneID:102223713,0,sp|Q8IVL5|P3H2_HUMAN,Q8IVL5
gene10269,GeneID:102223976,7.00E-35,sp|Q5TID7|CC181_HUMAN,Q5TID7
gene1027,GeneID:111606754,2.00E-04,sp|O95944|NCTR2_HUMAN,O95944
gene10270,GeneID:102224230,0,sp|P36551|HEM6_HUMAN,P36551
gene10271,GeneID:102224481,9.00E-176,sp|P36551|HEM6_HUMAN,P36551
gene10272,GeneID:102234610,5.00E-31,sp|O14668|TMG1_HUMAN,O14668
gene10273,GeneID:102234870,4.00E-95,sp|Q9BQJ4|TMM47_HUMAN,Q9BQJ4
gene10274,GeneID:102235135,1.00E-83,sp|Q8N5C8|TAB3_HUMAN,Q8N5C8
gene10275,GeneID:102235396,2.00E-106,sp|Q0ZGT2|NEXN_HUMAN,Q0ZGT2
gene10276,GeneID:102224736,1.00E-135,sp|Q4G0A6|MINY4_HUMAN,Q4G0A6
gene10277,GeneID:102225006,1.00E-30,sp|Q6UXT8|ALKL1_HUMAN,Q6UXT8
gene10278,GeneID:102225268,0,sp|Q86XH1|DRC11_HUMAN,Q86XH1
gene10279,GeneID:102225528,0,tr|A6NGQ3|A6NGQ3_HUMAN,A6NGQ3
gene1028,GeneID:111611618,NA,NA,
gene10280,GeneID:102235645,8.00E-99,sp|Q16774|KGUA_HUMAN,Q16774
gene10281,GeneID:102225790,0,sp|Q5VTB9|RN220_HUMAN,Q5VTB9
gene10282,GeneID:102235895,0,sp|Q9NPF5|DMAP1_HUMAN,Q9NPF5
gene10283,GeneID:102236148,4.00E-52,tr|A0A087X0X3|A0A087X0X3_HUMAN,A0A087X0X3
gene10284,GeneID:102236400,0,sp|O43615|TIM44_HUMAN,O43615
gene10285,GeneID:106699673,2.00E-13,sp|P60606|CTXN1_HUMAN,P60606
gene10286,GeneID:102226053,0,sp|P35556|FBN2_HUMAN,P35556
