GOID,Term
GO:0035445,borate transmembrane transport
GO:0050790,regulation of catalytic activity
GO:0050787,detoxification of mercury ion
GO:0050696,trichloroethylene catabolic process
GO:0030234,enzyme regulator activity
GO:0044604,ABC-type phytochelatin transporter activity
GO:0071836,nectar secretion
GO:0046713,borate transport
GO:0046938,phytochelatin biosynthetic process
GO:0046937,phytochelatin metabolic process
GO:0071994,phytochelatin transmembrane transport
GO:0071995,phytochelatin import into vacuole
GO:0071993,phytochelatin transport
GO:0098769,TIMP family protein binding
GO:1990660,calprotectin complex
GO:1990850,H-gal-GP complex
GO:0017090,meprin A complex
GO:0003700,DNA-binding transcription factor activity
GO:0016610,nitrogenase complex
GO:0043624,cellular protein complex disassembly
GO:0018315,molybdenum incorporation into molybdenum-molybdopterin complex
GO:0043086,negative regulation of catalytic activity
GO:0043085,positive regulation of catalytic activity
GO:0018934,nitrilotriacetate metabolic process
GO:0018942,organometal metabolic process
GO:0018979,trichloroethylene metabolic process
GO:0004857,enzyme inhibitor activity
GO:0008047,enzyme activator activity
GO:0016226,iron-sulfur cluster assembly
GO:0001217,DNA-binding transcription repressor activity
GO:0001216,DNA-binding transcription activator activity
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific"
GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0140663,ATP-dependent FeS chaperone activity
GO:0015295,solute:proton symporter activity
GO:0015291,secondary active transmembrane transporter activity
GO:0015115,silicate transmembrane transporter activity
GO:0015708,silicic acid import across plasma membrane
GO:0015603,iron chelate transmembrane transporter activity
