tissue,direction_of_diff_expression,GO_term,Description,P-value,FDR q-value,Enrichment,N,B,n,b
gill,upregulated,GO:0051961,negative regulation of nervous system development,8.14E-04,2.01E-01,1.85,11186,243,748,30
gill,upregulated,GO:0048589,developmental growth,8.14E-04,1.98E-01,1.85,11186,243,748,30
gill,upregulated,GO:0001764,neuron migration,8.23E-04,1.97E-01,2.42,11186,99,748,16
gill,upregulated,GO:0050768,negative regulation of neurogenesis,8.59E-04,2.02E-01,1.89,11186,222,748,28
gill,upregulated,GO:0035136,forelimb morphogenesis,9.64E-04,2.23E-01,4.19,11186,25,748,7
gill,upregulated,GO:0048729,tissue morphogenesis,9.90E-04,2.26E-01,1.8,11186,257,748,31
gill,downregulated,GO:0002376,immune system process,1.34E-57,1.96E-53,2.59,11186,1298,924,278
gill,downregulated,GO:0006955,immune response,4.27E-46,3.12E-42,3.64,11186,475,924,143
gill,downregulated,GO:0001775,cell activation,9.19E-42,4.47E-38,3,11186,678,924,168
gill,downregulated,GO:0006952,defense response,7.52E-38,2.75E-34,3.08,11186,577,924,147
gill,downregulated,GO:0045321,leukocyte activation,3.57E-37,1.04E-33,3.03,11186,591,924,148
gill,downregulated,GO:0002682,regulation of immune system process,2.49E-36,6.07E-33,2.48,11186,961,924,197
gill,downregulated,GO:0007165,signal transduction,2.20E-33,4.60E-30,1.69,11186,2812,924,392
gill,downregulated,GO:0050776,regulation of immune response,9.85E-31,1.80E-27,2.78,11186,610,924,140
gill,downregulated,GO:0002252,immune effector process,1.88E-27,3.05E-24,2.66,11186,609,924,134
gill,downregulated,GO:0019221,cytokine-mediated signaling pathway,1.24E-26,1.82E-23,3.14,11186,389,924,101
gill,downregulated,GO:0001817,regulation of cytokine production,1.35E-26,1.80E-23,3,11186,436,924,108
gill,downregulated,GO:0007166,cell surface receptor signaling pathway,3.64E-26,4.44E-23,1.95,11186,1443,924,232
gill,downregulated,GO:0002684,positive regulation of immune system process,1.93E-25,2.16E-22,2.57,11186,622,924,132
gill,downregulated,GO:0048584,positive regulation of response to stimulus,8.38E-24,8.74E-21,1.86,11186,1526,924,235
gill,downregulated,GO:0002366,leukocyte activation involved in immune response,2.48E-23,2.42E-20,2.91,11186,412,924,99
gill,downregulated,GO:0002263,cell activation involved in immune response,4.45E-23,4.06E-20,2.89,11186,415,924,99
gill,downregulated,GO:0050865,regulation of cell activation,1.25E-22,1.07E-19,3.03,11186,359,924,90
gill,downregulated,GO:0046649,lymphocyte activation,6.50E-22,5.28E-19,3.63,11186,227,924,68
gill,downregulated,GO:0048583,regulation of response to stimulus,8.40E-22,6.46E-19,1.54,11186,2841,924,361
gill,downregulated,GO:0002694,regulation of leukocyte activation,1.53E-21,1.12E-18,3.07,11186,331,924,84
gill,downregulated,GO:0002274,myeloid leukocyte activation,3.33E-21,2.32E-18,2.84,11186,396,924,93
gill,downregulated,GO:0050778,positive regulation of immune response,4.49E-21,2.98E-18,2.72,11186,440,924,99
gill,downregulated,GO:0006954,inflammatory response,2.58E-20,1.64E-17,3.42,11186,241,924,68
gill,downregulated,GO:0002764,immune response-regulating signaling pathway,6.11E-20,3.72E-17,3.14,11186,289,924,75
gill,downregulated,GO:0002250,adaptive immune response,1.12E-19,6.54E-17,4.66,11186,117,924,45
gill,downregulated,GO:0002757,immune response-activating signal transduction,2.26E-19,1.27E-16,3.2,11186,269,924,71
gill,downregulated,GO:0051249,regulation of lymphocyte activation,4.43E-19,2.40E-16,3.16,11186,272,924,71
gill,downregulated,GO:0031347,regulation of defense response,6.59E-19,3.44E-16,2.49,11186,500,924,103
gill,downregulated,GO:0043207,response to external biotic stimulus,7.56E-19,3.81E-16,2.58,11186,456,924,97
gill,downregulated,GO:0045087,innate immune response,1.02E-18,4.95E-16,3.24,11186,250,924,67
gill,downregulated,GO:1902533,positive regulation of intracellular signal transduction,1.91E-18,9.00E-16,2.17,11186,738,924,132
gill,downregulated,GO:0009607,response to biotic stimulus,1.96E-18,8.95E-16,2.51,11186,477,924,99
gill,downregulated,GO:0050863,regulation of T cell activation,9.22E-18,4.08E-15,3.5,11186,197,924,57
gill,downregulated,GO:0002253,activation of immune response,2.21E-17,9.50E-15,2.88,11186,311,924,74
gill,downregulated,GO:0035556,intracellular signal transduction,2.24E-17,9.36E-15,1.87,11186,1118,924,173
gill,downregulated,GO:1903039,positive regulation of leukocyte cell-cell adhesion,2.38E-17,9.66E-15,4.06,11186,137,924,46
gill,downregulated,GO:1902531,regulation of intracellular signal transduction,2.53E-17,9.98E-15,1.79,11186,1322,924,195
gill,downregulated,GO:1903037,regulation of leukocyte cell-cell adhesion,2.65E-17,1.02E-14,3.52,11186,189,924,55
gill,downregulated,GO:0007186,G protein-coupled receptor signaling pathway,3.42E-17,1.28E-14,2.4,11186,504,924,100
gill,downregulated,GO:0050867,positive regulation of cell activation,1.34E-16,4.90E-14,3.28,11186,214,924,58
gill,downregulated,GO:0032101,regulation of response to external stimulus,1.49E-16,5.30E-14,2.31,11186,546,924,104
gill,downregulated,GO:0002521,leukocyte differentiation,4.41E-16,1.54E-13,3.37,11186,194,924,54
gill,downregulated,GO:0043299,leukocyte degranulation,4.61E-16,1.57E-13,2.67,11186,349,924,77
gill,downregulated,GO:0002275,myeloid cell activation involved in immune response,6.21E-16,2.06E-13,2.64,11186,358,924,78
gill,downregulated,GO:0042110,T cell activation,9.35E-16,3.04E-13,3.94,11186,132,924,43
gill,downregulated,GO:0050870,positive regulation of T cell activation,1.10E-15,3.51E-13,4,11186,127,924,42
gill,downregulated,GO:0030098,lymphocyte differentiation,1.43E-15,4.44E-13,3.83,11186,139,924,44
gill,downregulated,GO:0022409,positive regulation of cell-cell adhesion,1.77E-15,5.39E-13,3.51,11186,169,924,49
gill,downregulated,GO:0022407,regulation of cell-cell adhesion,2.00E-15,5.96E-13,2.91,11186,266,924,64
gill,downregulated,GO:0002696,positive regulation of leukocyte activation,2.15E-15,6.30E-13,3.22,11186,207,924,55
gill,downregulated,GO:0036230,granulocyte activation,5.97E-15,1.71E-12,2.59,11186,350,924,75
gill,downregulated,GO:0009605,response to external stimulus,6.55E-15,1.84E-12,1.9,11186,910,924,143
gill,downregulated,GO:0030155,regulation of cell adhesion,9.88E-15,2.72E-12,2.31,11186,483,924,92
gill,downregulated,GO:0042119,neutrophil activation,1.02E-14,2.75E-12,2.59,11186,346,924,74
gill,downregulated,GO:0002768,immune response-regulating cell surface receptor signaling pathway,1.12E-14,2.98E-12,3.07,11186,221,924,56
gill,downregulated,GO:0002429,immune response-activating cell surface receptor signaling pathway,1.25E-14,3.25E-12,3.18,11186,202,924,53
gill,downregulated,GO:0051707,response to other organism,1.25E-14,3.20E-12,2.69,11186,311,924,69
gill,downregulated,GO:0002283,neutrophil activation involved in immune response,1.26E-14,3.17E-12,2.6,11186,340,924,73
gill,downregulated,GO:0001819,positive regulation of cytokine production,1.54E-14,3.82E-12,2.85,11186,263,924,62
gill,downregulated,GO:0050900,leukocyte migration,2.14E-14,5.21E-12,3.31,11186,179,924,49
gill,downregulated,GO:0051251,positive regulation of lymphocyte activation,2.14E-14,5.13E-12,3.31,11186,179,924,49
gill,downregulated,GO:0043312,neutrophil degranulation,2.52E-14,5.94E-12,2.59,11186,337,924,72
gill,downregulated,GO:0009966,regulation of signal transduction,3.53E-14,8.18E-12,1.51,11186,2169,924,270
gill,downregulated,GO:1902105,regulation of leukocyte differentiation,4.01E-14,9.15E-12,3.22,11186,188,924,50
gill,downregulated,GO:0045088,regulation of innate immune response,4.66E-14,1.05E-11,2.76,11186,276,924,63
gill,downregulated,GO:0009617,response to bacterium,5.29E-14,1.17E-11,3.57,11186,146,924,43
gill,downregulated,GO:0045619,regulation of lymphocyte differentiation,1.24E-13,2.71E-11,3.83,11186,120,924,38
gill,downregulated,GO:0045785,positive regulation of cell adhesion,1.33E-13,2.86E-11,2.7,11186,282,924,63
gill,downregulated,GO:0065007,biological regulation,2.44E-13,5.16E-11,1.16,11186,7459,924,713
gill,downregulated,"erythroid-derived 2)-like 2, TFE3  -  transcription factor binding to ighm enhancer 3, CDH23  -  cadherin-related 23, TNFSF13B  -  tumor necrosis factor (ligand) superfamily, member 13b, GNA13  -  guanine nucleotide binding protein (g protein), alpha 13, CLIC1  -  chloride intracellular channel 1, RAP1B  -  rap1b, member of ras oncogene family, TFRC  -  transferrin receptor (p90, cd71), GNA14  -  guanine nucleotide binding protein (g protein), alpha 14, NFATC2  -  nuclear factor of activated t-cells, cytoplasmic, calcineurin-dependent 2, RAP2B  -  rap2b, member of ras oncogene family, TFPI  -  tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor), TRIM39  -  tripartite motif containing 39, CHST11  -  carbohydrate (chondroitin 4) sulfotransferase 11, CRTAM  -  cytotoxic and regulatory t cell molecule, NEUROG3  -  neurogenin 3, SCUBE1  -  signal peptide, cub domain, egf-like 1, MASP2  -  mannan-binding lectin serine peptidase 2, ARHGEF3  -  rho guanine nucleotide exchange factor (gef) 3, TP53INP1  -  tumor protein p53 inducible nuclear protein 1, VGLL4  -  vestigial like 4 (drosophila), IGFALS  -  insulin-like growth factor binding protein, acid labile subunit, RASGRF2  -  ras protein-specific guanine nucleotide-releasing factor 2, N4BP1  -  nedd4 binding protein 1, IGFBP5  -  insulin-like growth factor binding protein 5, HCAR2  -  hydroxycarboxylic acid receptor 2, ACAP2  -  arfgap with coiled-coil, ankyrin repeat and ph domains 2, HMHA1  -  histocompatibility (minor) ha-1, APBB1IP  -  amyloid beta (a4) precursor protein-binding, family b, member 1 interacting protein, IRX4  -  iroquois homeobox 4, PIK3R5  -  phosphoinositide-3-kinase, regulatory subunit 5, RHOF  -  ras homolog family member f (in filopodia), TBR1  -  t-box, brain, 1, LPIN2  -  lipin 2]",,,,,,,,
gill,downregulated,GO:0050896,response to stimulus,3.76E-13,7.85E-11,1.36,11186,3314,924,372
gill,downregulated,GO:0051239,regulation of multicellular organismal process,5.97E-13,1.23E-10,1.47,11186,2219,924,270
gill,downregulated,GO:0030217,T cell differentiation,6.99E-13,1.42E-10,4.43,11186,82,924,30
gill,downregulated,GO:0009967,positive regulation of signal transduction,7.81E-13,1.56E-10,1.72,11186,1142,924,162
gill,downregulated,GO:0044093,positive regulation of molecular function,8.63E-13,1.70E-10,1.67,11186,1277,924,176
gill,downregulated,GO:0050727,regulation of inflammatory response,9.84E-13,1.92E-10,2.75,11186,251,924,57
gill,downregulated,GO:0050851,antigen receptor-mediated signaling pathway,1.21E-12,2.33E-10,3.46,11186,140,924,40
gill,downregulated,GO:0051345,positive regulation of hydrolase activity,1.28E-12,2.42E-10,2.12,11186,531,924,93
gill,downregulated,GO:0098542,defense response to other organism,1.46E-12,2.73E-10,3.08,11186,185,924,47
gill,downregulated,GO:0080134,regulation of response to stress,1.72E-12,3.17E-10,1.73,11186,1077,924,154
gill,downregulated,GO:0045055,regulated exocytosis,2.20E-12,4.02E-10,2.2,11186,462,924,84
gill,downregulated,GO:0002683,negative regulation of immune system process,2.81E-12,5.07E-10,2.58,11186,286,924,61
gill,downregulated,GO:0010647,positive regulation of cell communication,3.81E-12,6.80E-10,1.66,11186,1250,924,171
gill,downregulated,GO:0010646,regulation of cell communication,3.94E-12,6.93E-10,1.42,11186,2456,924,289
gill,downregulated,GO:0006887,exocytosis,4.65E-12,8.09E-10,2.09,11186,526,924,91
gill,downregulated,GO:0023051,regulation of signaling,5.76E-12,9.90E-10,1.42,11186,2485,924,291
gill,downregulated,GO:0023056,positive regulation of signaling,5.77E-12,9.80E-10,1.65,11186,1256,924,171
gill,downregulated,GO:0001818,negative regulation of cytokine production,6.58E-12,1.10E-09,3.14,11186,166,924,43
gill,downregulated,GO:0043085,positive regulation of catalytic activity,7.11E-12,1.18E-09,1.73,11186,1030,924,147
gill,downregulated,GO:0050789,regulation of biological process,8.24E-12,1.35E-09,1.16,11186,7030,924,674
gill,downregulated,GO:0050794,regulation of cellular process,9.11E-12,1.48E-09,1.17,11186,6607,924,641
gill,downregulated,GO:0030595,leukocyte chemotaxis,1.42E-11,2.29E-09,4.24,11186,80,924,28
gill,downregulated,GO:0045580,regulation of T cell differentiation,1.75E-11,2.78E-09,3.87,11186,97,924,31
gill,downregulated,GO:0060326,cell chemotaxis,2.76E-11,4.34E-09,3.55,11186,116,924,34
gill,downregulated,GO:0060333,interferon-gamma-mediated signaling pathway,3.21E-11,4.99E-09,6.23,11186,35,924,18
gill,downregulated,GO:0051704,multi-organism process,3.91E-11,6.01E-09,1.72,11186,987,924,140
gill,downregulated,GO:0002697,regulation of immune effector process,4.50E-11,6.85E-09,2.62,11186,245,924,53
gill,downregulated,GO:0010941,regulation of cell death,4.55E-11,6.85E-09,1.65,11186,1151,924,157
gill,downregulated,GO:0031349,positive regulation of defense response,6.71E-11,1.00E-08,2.49,11186,277,924,57
gill,downregulated,GO:0043067,regulation of programmed cell death,7.86E-11,1.16E-08,1.67,11186,1063,924,147
gill,downregulated,GO:0042113,B cell activation,9.33E-11,1.36E-08,3.74,11186,97,924,30
gill,downregulated,GO:0042981,regulation of apoptotic process,9.75E-11,1.41E-08,1.68,11186,1047,924,145
gill,downregulated,GO:0042742,defense response to bacterium,1.02E-10,1.46E-08,3.94,11186,86,924,28
gill,downregulated,GO:0010942,positive regulation of cell death,1.32E-10,1.88E-08,2.03,11186,507,924,85
gill,downregulated,GO:0043065,positive regulation of apoptotic process,1.33E-10,1.87E-08,2.08,11186,465,924,80
gill,downregulated,GO:0048518,positive regulation of biological process,1.35E-10,1.88E-08,1.27,11186,4124,924,431
gill,downregulated,GO:0050853,B cell receptor signaling pathway,1.65E-10,2.28E-08,6.98,11186,26,924,15
gill,downregulated,GO:0002819,regulation of adaptive immune response,1.70E-10,2.32E-08,3.57,11186,105,924,31
gill,downregulated,GO:0043068,positive regulation of programmed cell death,2.27E-10,3.07E-08,2.06,11186,470,924,80
gill,downregulated,GO:0006935,chemotaxis,2.47E-10,3.32E-08,2.75,11186,198,924,45
gill,downregulated,GO:0032940,secretion by cell,2.60E-10,3.46E-08,1.86,11186,671,924,103
gill,downregulated,GO:0002703,regulation of leukocyte mediated immunity,2.61E-10,3.43E-08,3.29,11186,125,924,34
gill,downregulated,GO:0042330,taxis,2.95E-10,3.85E-08,2.74,11186,199,924,45
gill,downregulated,GO:0032103,positive regulation of response to external stimulus,3.53E-10,4.56E-08,2.76,11186,193,924,44
gill,downregulated,GO:0007204,positive regulation of cytosolic calcium ion concentration,4.21E-10,5.39E-08,2.78,11186,187,924,43
gill,downregulated,GO:0016477,cell migration,4.35E-10,5.53E-08,1.91,11186,597,924,94
gill,downregulated,GO:0006874,cellular calcium ion homeostasis,4.75E-10,5.98E-08,2.4,11186,283,924,56
gill,downregulated,GO:0055074,calcium ion homeostasis,4.97E-10,6.20E-08,2.37,11186,291,924,57
gill,downregulated,GO:0070098,chemokine-mediated signaling pathway,5.39E-10,6.67E-08,5.45,11186,40,924,18
gill,downregulated,GO:0051240,positive regulation of multicellular organismal process,6.05E-10,7.43E-08,1.59,11186,1220,924,160
gill,downregulated,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,7.09E-10,8.63E-08,2.82,11186,176,924,41
gill,downregulated,GO:0051241,negative regulation of multicellular organismal process,1.13E-09,1.37E-07,1.72,11186,845,924,120
gill,downregulated,GO:0032675,regulation of interleukin-6 production,1.23E-09,1.47E-07,3.79,11186,83,924,26
gill,downregulated,GO:0031294,lymphocyte costimulation,1.26E-09,1.50E-07,5.87,11186,33,924,16
gill,downregulated,GO:0031295,T cell costimulation,1.26E-09,1.48E-07,5.87,11186,33,924,16
gill,downregulated,GO:0040011,locomotion,1.49E-09,1.74E-07,1.79,11186,710,924,105
gill,downregulated,GO:0030168,platelet activation,1.49E-09,1.73E-07,3.88,11186,78,924,25
gill,downregulated,GO:0002285,lymphocyte activation involved in immune response,1.64E-09,1.88E-07,4.3,11186,62,924,22
gill,downregulated,GO:0046634,regulation of alpha-beta T cell activation,1.64E-09,1.87E-07,4.3,11186,62,924,22
gill,downregulated,GO:0048870,cell motility,1.82E-09,2.06E-07,1.83,11186,649,924,98
gill,downregulated,GO:0072507,divalent inorganic cation homeostasis,1.91E-09,2.14E-07,2.27,11186,309,924,58
gill,downregulated,GO:0046903,secretion,1.97E-09,2.20E-07,1.76,11186,741,924,108
gill,downregulated,GO:0072503,cellular divalent inorganic cation homeostasis,2.09E-09,2.31E-07,2.31,11186,294,924,56
gill,downregulated,GO:0065009,regulation of molecular function,2.41E-09,2.65E-07,1.41,11186,2056,924,239
gill,downregulated,GO:1903706,regulation of hemopoiesis,2.47E-09,2.70E-07,2.2,11186,335,924,61
gill,downregulated,GO:0098771,inorganic ion homeostasis,2.64E-09,2.86E-07,2,11186,460,924,76
gill,downregulated,GO:1902107,positive regulation of leukocyte differentiation,2.89E-09,3.10E-07,3.38,11186,104,924,29
gill,downregulated,GO:0097529,myeloid leukocyte migration,3.27E-09,3.48E-07,4.16,11186,64,924,22
gill,downregulated,GO:0055080,cation homeostasis,3.40E-09,3.60E-07,2,11186,454,924,75
gill,downregulated,GO:0001932,regulation of protein phosphorylation,4.45E-09,4.68E-07,1.63,11186,998,924,134
gill,downregulated,GO:0051480,regulation of cytosolic calcium ion concentration,5.50E-09,5.74E-07,2.51,11186,217,924,45
gill,downregulated,GO:0030003,cellular cation homeostasis,6.15E-09,6.37E-07,2.04,11186,409,924,69
gill,downregulated,GO:0050864,regulation of B cell activation,6.33E-09,6.51E-07,3.65,11186,83,924,25
gill,downregulated,GO:0006873,cellular ion homeostasis,6.52E-09,6.66E-07,2.03,11186,418,924,70
gill,downregulated,GO:0002237,response to molecule of bacterial origin,8.18E-09,8.30E-07,2.65,11186,183,924,40
gill,downregulated,GO:0042592,homeostatic process,8.34E-09,8.40E-07,1.6,11186,1037,924,137
gill,downregulated,GO:0002706,regulation of lymphocyte mediated immunity,8.41E-09,8.42E-07,3.5,11186,90,924,26
gill,downregulated,GO:0042035,regulation of cytokine biosynthetic process,8.67E-09,8.62E-07,3.98,11186,67,924,22
gill,downregulated,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,9.19E-09,9.07E-07,2.96,11186,135,924,33
gill,downregulated,GO:0043408,regulation of MAPK cascade,1.02E-08,9.97E-07,1.91,11186,500,924,79
gill,downregulated,GO:0048522,positive regulation of cellular process,1.66E-08,1.62E-06,1.25,11186,3723,924,385
gill,downregulated,GO:0050777,negative regulation of immune response,1.79E-08,1.73E-06,3.38,11186,93,924,26
gill,downregulated,GO:0006915,apoptotic process,1.92E-08,1.84E-06,1.92,11186,472,924,75
gill,downregulated,GO:0051056,regulation of small GTPase mediated signal transduction,1.96E-08,1.87E-06,2.36,11186,241,924,47
gill,downregulated,GO:0050790,regulation of catalytic activity,2.03E-08,1.92E-06,1.44,11186,1618,924,193
gill,downregulated,GO:0045621,positive regulation of lymphocyte differentiation,2.16E-08,2.03E-06,3.8,11186,70,924,22
gill,downregulated,GO:0045582,positive regulation of T cell differentiation,2.23E-08,2.09E-06,4.1,11186,59,924,20
gill,downregulated,GO:0050852,T cell receptor signaling pathway,2.50E-08,2.32E-06,3.03,11186,120,924,30
gill,downregulated,GO:0007249,I-kappaB kinase/NF-kappaB signaling,2.71E-08,2.51E-06,4.68,11186,44,924,17
gill,downregulated,GO:0046632,alpha-beta T cell differentiation,2.89E-08,2.65E-06,6.05,11186,26,924,13
gill,downregulated,GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2.90E-08,2.65E-06,3.31,11186,95,924,26
gill,downregulated,GO:0048878,chemical homeostasis,3.44E-08,3.12E-06,1.7,11186,733,924,103
gill,downregulated,GO:0002685,regulation of leukocyte migration,3.46E-08,3.12E-06,3.05,11186,115,924,29
gill,downregulated,GO:0012501,programmed cell death,3.87E-08,3.47E-06,1.85,11186,524,924,80
gill,downregulated,GO:0055065,metal ion homeostasis,3.96E-08,3.53E-06,1.99,11186,402,924,66
gill,downregulated,GO:0002705,positive regulation of leukocyte mediated immunity,3.98E-08,3.53E-06,3.46,11186,84,924,24
gill,downregulated,GO:0071621,granulocyte chemotaxis,4.03E-08,3.54E-06,4.57,11186,45,924,17
gill,downregulated,GO:0046631,alpha-beta T cell activation,4.36E-08,3.82E-06,5.47,11186,31,924,14
gill,downregulated,GO:0042325,regulation of phosphorylation,4.39E-08,3.82E-06,1.54,11186,1134,924,144
gill,downregulated,GO:0008219,cell death,5.02E-08,4.34E-06,1.81,11186,554,924,83
gill,downregulated,GO:0050729,positive regulation of inflammatory response,5.12E-08,4.40E-06,3.42,11186,85,924,24
gill,downregulated,GO:0065008,regulation of biological quality,5.36E-08,4.58E-06,1.31,11186,2639,924,286
gill,downregulated,GO:0040012,regulation of locomotion,5.44E-08,4.62E-06,1.71,11186,702,924,99
gill,downregulated,GO:0050728,negative regulation of inflammatory response,5.82E-08,4.91E-06,3.21,11186,98,924,26
gill,downregulated,GO:0030593,neutrophil chemotaxis,5.91E-08,4.96E-06,4.72,11186,41,924,16
gill,downregulated,GO:0035588,G protein-coupled purinergic receptor signaling pathway,7.13E-08,5.95E-06,7.57,11186,16,924,10
gill,downregulated,GO:0097530,granulocyte migration,7.80E-08,6.48E-06,4.19,11186,52,924,18
gill,downregulated,GO:0031348,negative regulation of defense response,8.50E-08,7.02E-06,2.77,11186,140,924,32
gill,downregulated,GO:0006875,cellular metal ion homeostasis,9.71E-08,7.97E-06,2.02,11186,360,924,60
gill,downregulated,GO:0018212,peptidyl-tyrosine modification,1.01E-07,8.24E-06,3.05,11186,107,924,27
